Lot Area,Overall Qual,Overall Cond,Gr Liv Area,TotRms AbvGrd,Yr Sold,SalePrice
31770,6,5,1656,7,2010,215000
11622,5,6,896,5,2010,105000
14267,6,6,1329,6,2010,172000
11160,7,5,2110,8,2010,244000
13830,5,5,1629,6,2010,189900
9978,6,6,1604,7,2010,195500
4920,8,5,1338,6,2010,213500
5005,8,5,1280,5,2010,191500
5389,8,5,1616,5,2010,236500
7500,7,5,1804,7,2010,189000
10000,6,5,1655,7,2010,175900
7980,6,7,1187,6,2010,185000
8402,6,5,1465,7,2010,180400
10176,7,5,1341,5,2010,171500
6820,8,5,1502,4,2010,212000
53504,8,5,3279,12,2010,538000
12134,8,7,1752,8,2010,164000
11394,9,2,1856,8,2010,394432
19138,4,5,864,4,2010,141000
13175,6,6,2073,7,2010,210000
11751,6,6,1844,7,2010,190000
10625,7,6,1173,6,2010,170000
7500,7,5,1674,7,2010,216000
11241,6,7,1004,5,2010,149000
12537,5,6,1078,6,2010,149900
8450,5,6,1056,6,2010,142000
8400,4,5,882,4,2010,126000
10500,4,5,864,5,2010,115000
5858,7,5,1337,5,2010,184000
1680,6,5,987,5,2010,96000
1680,5,5,1092,6,2010,105500
1680,6,5,1092,6,2010,88000
4043,6,5,1069,4,2010,127500
2280,6,6,1456,6,2010,149900
2280,7,6,836,4,2010,120000
2280,6,5,1456,7,2010,146000
12858,9,5,2334,10,2010,376162
11478,8,5,1704,7,2010,306000
10159,9,5,1940,8,2010,395192
12883,8,5,1544,7,2010,290941
12182,7,5,1541,7,2010,220000
11520,9,5,1698,7,2010,275000
14122,8,5,1822,8,2010,259000
10171,7,5,1535,7,2010,214000
12919,9,5,2364,11,2010,611657
6371,7,5,1358,6,2010,224000
14300,9,5,2696,10,2010,500000
13650,8,5,2250,7,2010,320000
7658,9,5,1752,6,2010,319900
7132,8,5,1370,6,2010,205000
2628,7,5,1626,6,2010,175500
18494,6,5,1324,6,2010,199500
3203,7,5,1145,6,2010,160000
3182,8,5,1269,6,2010,192000
13300,7,5,1374,7,2010,184500
7851,6,5,1960,8,2010,216500
8577,7,5,1733,7,2010,185088
7750,7,5,1430,7,2010,180000
9505,7,5,2035,8,2010,222500
14774,9,5,2599,10,2010,333168
17433,8,5,2475,7,2010,355000
10593,7,5,1720,7,2010,260400
12256,8,5,2622,9,2010,325000
11764,8,7,2270,9,2010,290000
16770,7,5,1839,7,2010,221000
14720,8,5,3238,9,2010,410000
8987,8,5,1595,6,2010,221500
9215,7,5,1218,4,2010,204500
8640,7,5,1547,7,2010,215200
9000,8,5,1566,7,2010,262500
12552,7,5,1947,8,2010,254900
10440,6,5,1468,6,2010,271500
10142,7,5,2084,8,2010,233000
11920,7,5,1659,8,2010,181000
8880,7,5,2110,8,2010,205000
8012,6,5,923,5,2010,143000
11218,6,5,1845,8,2010,189000
7892,6,5,918,5,2010,99500
7175,6,5,752,4,2010,125000
9453,7,7,1744,7,2010,194500
9672,6,5,1097,6,2010,152000
8400,6,6,1564,7,2010,171000
9800,5,5,1012,5,2010,67500
8930,6,5,1902,8,2010,112000
11782,5,7,1155,6,2010,148000
8450,5,8,894,5,2010,138500
9819,5,5,900,5,2010,122000
7500,5,5,1040,5,2010,133000
6897,5,8,1040,6,2010,127000
15410,6,6,1494,7,2010,169000
10186,7,5,1923,8,2010,190000
13143,8,5,2349,9,2010,362500
11134,8,5,2225,7,2010,285000
4835,7,5,1488,6,2010,260000
3515,7,5,1680,3,2010,190000
3215,7,5,1200,4,2010,155000
3182,7,5,1200,4,2010,151000
2544,7,5,1200,4,2010,149500
2544,6,5,1236,4,2010,152000
4403,7,5,1478,7,2010,222000
2117,6,5,1573,5,2010,177500
2980,6,5,1512,5,2010,177000
2572,7,5,1416,6,2010,155000
2403,7,5,1080,4,2010,147110
12853,8,5,1418,6,2010,267916
7379,8,5,1848,7,2010,254000
4420,8,5,788,3,2010,155000
3880,8,6,1226,4,2010,206000
13517,6,8,1479,6,2010,130500
8000,7,5,1492,6,2010,230000
10456,6,6,1829,8,2010,218500
10791,6,5,2495,9,2010,243500
10603,6,7,1610,6,2010,205000
18837,6,5,1891,7,2010,212500
10421,7,5,1714,7,2010,196500
9360,6,7,1381,5,2010,197500
9600,6,6,1645,7,2010,171000
9600,5,5,1232,6,2010,142250
9790,6,5,1328,6,2010,143000
9320,4,5,1225,6,2010,128950
9900,5,5,1209,6,2010,159000
9680,5,6,1510,6,2010,178900
10600,6,5,1775,8,2010,136300
14112,5,7,1152,6,2010,180500
8800,6,7,1054,6,2010,137500
13260,5,6,1728,10,2010,84900
9717,5,6,1078,5,2010,142125
9724,5,7,2461,7,2010,197600
17360,6,6,1556,6,2010,172500
7207,5,7,858,4,2010,116500
5350,3,2,1306,6,2010,76500
9920,5,5,1063,6,2010,128000
9600,6,6,1520,7,2010,153000
7800,5,6,1268,7,2010,132000
11380,6,8,1128,5,2010,178000
11600,5,5,2274,12,2010,154300
19900,7,5,2207,7,2010,180000
16492,6,6,1888,6,2010,190000
8267,5,5,1604,8,2010,135000
8197,7,5,1480,7,2010,214000
8050,5,5,1143,6,2010,136000
10552,5,5,1700,6,2010,165500
8400,5,6,1314,5,2010,145000
8760,6,6,1194,6,2010,148000
12160,5,5,1188,6,2010,142000
9300,5,5,1264,6,2010,167500
10725,5,5,1206,6,2010,108538
10032,6,5,1580,6,2010,159500
8382,4,5,1337,5,2010,108000
10950,5,7,1064,4,2010,135000
10895,5,6,972,5,2010,122500
13587,5,5,988,5,2010,119000
7922,5,7,1057,5,2010,109000
7898,4,7,985,4,2010,105000
7200,5,7,827,5,2010,107500
10200,5,7,1086,6,2010,144900
5868,5,7,936,4,2010,129000
17503,6,5,1458,6,2010,97500
6979,6,5,1056,4,2010,144000
9830,5,7,1287,7,2010,162000
11275,7,7,2978,11,2010,242000
8064,6,8,1224,5,2010,132000
7500,5,7,1246,6,2010,154000
8520,5,4,1385,6,2010,166000
7200,5,7,900,5,2010,134800
10000,6,6,1116,5,2010,160000
7635,5,6,1175,6,2010,148000
9760,6,7,1395,7,2010,192000
7700,6,5,1839,7,2010,155000
4800,4,5,1844,9,2010,80400
8800,4,7,1140,7,2010,96500
4485,5,7,936,5,2010,109500
8960,5,6,1028,5,2010,115000
5805,5,7,1347,6,2010,143000
5790,3,6,1605,8,2010,107400
4608,4,6,747,4,2010,80000
7200,5,7,804,4,2010,119000
5500,5,7,1316,6,2010,130000
6900,6,7,1251,6,2010,119000
11851,5,7,1633,7,2010,129000
8239,5,6,1245,6,2010,100000
9656,2,2,832,5,2010,12789
8520,6,8,720,5,2010,105900
9600,8,9,1566,7,2010,150000
10800,5,6,1652,7,2010,139000
9000,8,9,2268,7,2010,240000
9045,5,3,2256,12,2010,76500
7407,6,7,1236,6,2010,149700
