,,,,,,,,,,,,
COUNTRY_NAME,ONBOARDING_AREA,CITY,DRIVER_ID,ORDERS_DELIVERED_CUMULATIVE,RIDER_ADMIN_STATUS_NOTE,CUR_ADMIN_STATUS,STATUS_DATE,ONBOARDING_AT_DATE,CREATED_IN_RIDER_ADMIN_AT_DATE,DAYS_SINCE_ONBOARDING,DAYS_SINCE_ONBOARD_STATUS_CHANGE,VEHICLE_TYPE
UK,Mansfield,Mansfield,951039,67,Conditional onboarding grace period expired,DISABLED,2025-01-03,2025-01-03,2024-12-12,119,0,BI
UK,Mansfield,Mansfield,951039,67,null,APPROVED,2025-01-14,2025-01-03,2024-12-12,119,11,BI
UK,Liverpool,Liverpool,956320,9,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,SC
UK,Liverpool,Liverpool,956320,666,null,TERMINATED,2025-03-08,2025-01-01,2025-01-01,121,66,SC
UK,Liverpool,Liverpool,956320,666,8AE,TERMINATED,2025-03-09,2025-01-01,2025-01-01,121,67,SC
UK,Chesham,London,956321,3,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,MV
UK,Bridgwater,Bridgwater,956322,15,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,MV
UK,Carlisle,Carlisle,956323,null,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,MV
UK,Carlisle,Carlisle,956324,null,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,MV
UK,Cheltenham,Gloucester,956325,null,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,BI
UK,Cheltenham,Gloucester,956325,122,Expired module,DISABLED,2025-02-12,2025-01-01,2025-01-01,121,42,BI
UK,Cheltenham,Gloucester,956325,130,null,APPROVED,2025-03-13,2025-01-01,2025-01-01,121,71,BI
UK,Cheltenham,Gloucester,956326,null,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,BI
UK,Cheltenham,Gloucester,956328,null,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,EB
UK,Colchester,Colchester,956329,null,null,null,2025-01-01,2025-01-01,2025-01-01,121,0,MV
