fertilizer_vol,farm_size,planting_density,yield
0,304,958,3.151315789
1,112,252,2.25
2,83,186,2.240963855
3,68,135,1.985294118
4,37,65,1.756756757
5,34,72,2.117647059
6,45,67,1.488888889
7,41,88,2.146341463
8,23,42,1.826086957
9,24,40,1.666666667
10,36,97,2.694444444
11,20,45,2.25
12,28,68,2.428571429
13,40,76,1.9
14,31,94,3.032258065
15,56,129,2.303571429
16,48,125,2.604166667
17,52,208,4
18,38,146,3.842105263
19,29,65,2.24137931
20,26,50,1.923076923
21,36,182,5.055555556
22,47,181,3.85106383
23,46,114,2.47826087
24,38,102,2.684210526
25,42,117,2.785714286
26,72,197,2.736111111
27,56,189,3.375
28,65,160,2.461538462
29,62,134,2.161290323
30,81,191,2.358024691
31,71,220,3.098591549
32,89,260,2.921348315
33,92,308,3.347826087
34,89,278,3.123595506
35,73,194,2.657534247
36,83,207,2.493975904
37,108,292,2.703703704
38,92,309,3.358695652
39,77,233,3.025974026
40,101,392,3.881188119
41,108,324,3
42,110,407,3.7
43,86,313,3.639534884
44,90,421,4.677777778
45,72,232,3.222222222
46,84,398,4.738095238
47,82,423,5.158536585
48,69,766,11.10144928
49,91,338,3.714285714
50,74,259,3.5
51,91,366,4.021978022
52,78,319,4.08974359
53,109,500,4.587155963
54,99,425,4.292929293
55,109,554,5.082568807
56,132,668,5.060606061
57,110,461,4.190909091
58,158,823,5.208860759
59,137,766,5.591240876
60,136,871,6.404411765
61,169,812,4.804733728
62,131,1097,8.374045802
63,137,1039,7.583941606
64,126,670,5.317460317
65,141,841,5.964539007
66,109,636,5.834862385
67,160,1218,7.6125
68,152,1020,6.710526316
69,171,1203,7.035087719
70,171,1560,9.122807018
71,167,1064,6.371257485
72,141,1192,8.453900709
73,187,1235,6.604278075
74,196,1850,9.43877551
75,223,1784,8
76,246,2114,8.593495935
77,241,2172,9.012448133
78,251,2082,8.294820717
79,210,2100,10
80,252,2261,8.972222222
81,258,1986,7.697674419
82,233,1815,7.789699571
83,223,2434,10.91479821
84,230,2533,11.01304348
85,232,2099,9.047413793
86,284,3021,10.63732394
87,233,2482,10.65236052
88,251,2571,10.24302789
89,201,2239,11.13930348
90,186,2037,10.9516129
91,149,1474,9.89261745
92,153,1805,11.79738562
93,153,1532,10.0130719
94,125,1285,10.28
95,60,666,11.1
96,50,460,9.2
97,50,442,8.84
98,16,174,10.875
99,8,85,10.625
100,12,79,6.583333333
101,9,66,7.333333333
102,4,56,14
103,3,10,3.333333333
104,1,21,21
